date,n1,n2,n3,n4,n5,n6,supp1,supp2
2022-05-04,10,26,32,33,35,39,20,28
2022-05-11,7,9,26,39,42,45,1,29
2022-05-18,12,14,17,19,27,30,28,32
2022-05-25,1,16,24,28,32,37,35,38
2022-06-01,5,8,10,15,31,42,7,36
2022-06-15,4,15,17,18,23,24,3,36
2022-06-29,1,17,30,32,41,45,38,43
2022-07-20,2,7,12,19,32,41,10,38
2022-07-27,21,24,28,29,37,39,2,19
2022-09-14,6,10,16,28,35,43,8,36
2022-09-21,12,15,24,26,29,34,27,43
2022-10-05,11,13,15,27,29,42,19,39
2022-11-02,13,20,27,30,34,39,4,42
2022-11-23,10,25,27,36,38,42,16,19
2022-12-07,2,14,16,18,20,44,4,40
2022-12-21,4,8,9,30,41,45,24,26
2023-01-11,4,9,13,16,25,27,29,42
2023-01-25,5,7,8,21,25,27,12,39
2023-02-01,1,8,31,38,41,44,7,26
2023-02-08,19,23,28,31,38,40,34,36
2023-02-15,5,11,17,21,30,35,13,33
2023-03-08,5,21,37,38,41,45,20,23
2023-03-29,6,12,16,39,40,41,17,19
2023-04-05,8,20,30,34,38,44,2,28
2023-04-12,2,6,12,32,36,45,10,39
2023-04-19,7,10,18,33,42,44,5,29
2023-05-03,11,13,28,30,35,38,19,37
2023-05-17,3,17,18,23,32,41,19,44
2023-05-24,14,17,18,22,23,35,9,28
2023-06-14,1,9,23,30,36,38,4,28
2023-06-28,7,8,9,14,16,18,21,39
2023-07-05,7,11,13,17,25,44,8,28
2023-07-26,15,20,24,30,35,37,7,32
2023-09-06,3,10,17,22,33,35,12,19
2023-09-13,3,11,16,20,36,41,7,23
2023-09-20,7,14,27,30,33,39,22,40
2023-09-27,4,5,14,15,35,41,20,37
2023-10-04,1,4,7,13,15,18,19,33
2023-10-11,4,20,24,26,30,33,16,25
2023-10-25,7,9,26,27,32,35,29,31
2023-11-01,2,10,20,22,27,32,5,17
2023-11-08,14,18,19,29,34,40,12,24
2023-11-15,1,5,10,21,26,36,7,41
2023-11-29,1,7,12,27,29,36,2,13
2023-12-20,7,14,20,23,34,41,26,42
2023-12-27,15,17,20,23,29,30,21,31
2024-01-10,9,12,16,18,44,45,25,36
